model_key,display_name,accuracy,precision,recall,f1,roc_auc
logistic_regression,Logistic Regression,0.8074179743223966,0.6810035842293907,0.5121293800539084,0.5846153846153846,0.8467010543763284
gradient_boosting,Gradient Boosting,0.8081312410841655,0.6821428571428572,0.5148247978436657,0.5867895545314901,0.8413755781030636
xgboost,Xgboost,0.782453637660485,0.6114864864864865,0.48787061994609165,0.5427286356821589,0.8251455551750191
random_forest,Random Forest,0.7895863052781741,0.6301369863013698,0.49595687331536387,0.555052790346908,0.8241494793477664
decision_tree,Decision Tree,0.7253922967189729,0.4816753926701571,0.49595687331536387,0.48871181938911024,0.6527996005239202
